,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,quzhou,28.9594,118.8686,77.11,89,85,3.06,CN,1659032991
323,mongo,12.1844,18.693,76.89,77,96,4.85,TD,1659032992
324,sao filipe,14.8961,-24.4956,80.55,74,15,12.17,CV,1659032992
325,porto novo,6.4965,2.6036,78.62,76,100,11.9,BJ,1659032761
326,zarubino,42.63,131.0922,69.46,97,100,6.02,RU,1659032993
327,anadyr,64.75,177.4833,50.5,87,75,11.18,RU,1659032993
328,shar,49.5886,81.0453,73.78,48,35,3.02,KZ,1659032993
329,haines junction,60.7522,-137.5108,57.15,77,100,2.3,CA,1659032994
330,kailua,21.4022,-157.7394,80.58,69,40,6.91,US,1659032994
331,kununurra,-15.7667,128.7333,53.58,82,85,3.44,AU,1659032994
332,zhuanghe,39.7008,122.9911,75.29,96,51,8.01,CN,1659032994
333,tuktoyaktuk,69.4541,-133.0374,44.6,93,100,12.66,CA,1659032995
334,narsaq,60.9167,-46.05,59.22,57,18,6.58,GL,1659032995
335,crawfordsville,40.0411,-86.8745,87.12,36,0,4.61,US,1659032752
336,minden,52.2833,8.9167,71.98,46,69,8.81,DE,1659032996
337,szczecinek,53.7079,16.6994,63.18,60,55,7.4,PL,1659032996
338,daru,-9.0763,143.2092,75.83,91,100,18.28,PG,1659032997
339,suzun,53.7841,82.3116,64.69,71,30,6.4,RU,1659032997
340,chulym,55.0997,80.9572,64.33,79,99,7.34,RU,1659032997
341,beringovskiy,63.05,179.3167,48.22,89,100,8.48,RU,1659032998
342,mana,5.6592,-53.7767,82.85,77,69,6.06,GF,1659032998
343,kijang,35.2442,129.2139,78.53,94,5,7.43,KR,1659032998
344,rudnichnyy,59.617,52.4703,61.2,74,27,3.29,RU,1659032999
345,yantzaza,-3.8278,-78.7594,86.76,42,54,2.71,EC,1659032999
346,longyearbyen,78.2186,15.6401,42.64,81,75,16.11,SJ,1659032999
347,undory,54.6085,48.3928,67.24,76,38,8.14,RU,1659032999
348,virden,39.5009,-89.7679,86.68,62,67,4.94,US,1659033000
349,bougouni,11.417,-7.479,79.05,75,65,4.7,ML,1659033001
350,hambantota,6.1241,81.1185,77.34,100,75,1.14,LK,1659033001
351,carauari,-4.8828,-66.8958,92.84,41,66,0.63,BR,1659033002
352,berlevag,70.8578,29.0864,50.0,81,75,17.27,NO,1659033002
353,morondava,-20.2833,44.2833,72.75,78,0,11.39,MG,1659033002
354,srikakulam,18.3,83.9,82.31,79,16,6.24,IN,1659033003
355,embonas,36.2269,27.8564,75.83,64,0,5.84,GR,1659033003
356,tahara,34.6667,137.2667,78.75,2,17,5.59,JP,1659033003
357,kendari,-3.945,122.4989,73.13,95,59,3.53,ID,1659032963
358,sawakin,19.1059,37.3321,94.05,54,79,3.87,SD,1659033004
359,kavaratti,10.5669,72.642,80.96,83,100,17.98,IN,1659033004
360,la union,-5.4,-80.75,83.95,41,4,11.61,PE,1659033005
361,mbandaka,0.0487,18.2603,74.77,68,100,2.8,CD,1659033005
362,schwechat,48.1333,16.4667,82.96,47,0,5.75,AT,1659033005
363,norman wells,65.282,-126.8329,62.64,55,75,6.91,CA,1659033006
364,caravelas,-17.7125,-39.2481,75.47,64,0,8.14,BR,1659033006
365,puerto carreno,6.189,-67.4859,83.41,72,79,8.43,CO,1659032951
366,rocha,-34.4833,-54.3333,49.15,88,100,16.55,UY,1659033006
367,wangkui,46.8333,126.5,69.62,94,100,5.44,CN,1659033007
368,muhos,64.808,25.9931,60.58,80,90,6.67,FI,1659033007
